# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 1, structure = BellLin, mu = 0.62
2.002200371815584421e+09 6.740362109277522904e+03 4.541099170373107654e+02 1.398102092011871488e+18 8.319846937403590709e+04 7.075387173528830152e+35 7.508794806527363530e-02 2.627607051770680026e-06 3.845897722183793667e+05 1.355191424149047732e+08 1.089153966304534151e+03 4.071177590333214247e-01 4.636920827546273216e+00 5.179621016599575078e+00 5.747682869152149765e-01 1.173211713332181771e+00 4.323469183125726589e-01 
2.072921779595369816e+09 6.978444123457437854e+03 4.464021255183077415e+02 1.398102092011871488e+18 8.106792523297184380e+04 7.201930335083601446e+35 7.513071381539743188e-02 2.495823303855687329e-06 3.744122414133651764e+05 1.253159557197461426e+08 1.085841653751826243e+03 3.954791189604137669e-01 4.704454754658651261e+00 5.187665408618353347e+00 5.742248632729715085e-01 1.172570362007605338e+00 4.327159474599759359e-01 
2.146141197858401537e+09 7.224935633233732915e+03 4.387654853277746838e+02 1.398102092011871488e+18 7.899181138421721698e+04 7.330688971605631131e+35 7.517685935869268532e-02 2.370150250557856255e-06 3.644866119511725265e+05 1.158510446821440160e+08 1.082328104013649408e+03 3.841989193867321184e-01 4.772647389356971637e+00 5.195450392248373461e+00 5.736990275708642173e-01 1.171943560934497031e+00 4.330769318028326875e-01 
2.221946860939519405e+09 7.480133677492056449e+03 4.312019884134147674e+02 1.398102092011871488e+18 7.696874281272631197e+04 7.461701870882978693e+35 7.522631871623919331e-02 2.250341034828942717e-06 3.548074677060159156e+05 1.070738915263306051e+08 1.078619353664116716e+03 3.732649327176032483e-01 4.841504812602931196e+00 5.202979234519717444e+00 5.731904442724735649e-01 1.171331019633331749e+00 4.334299953926855076e-01 
2.300430119772921562e+09 7.744345787079062575e+03 4.237134896281363581e+02 1.398102092011871488e+18 7.499736950505238201e+04 7.595008499787217265e+35 7.527902751928168545e-02 2.136156150102871247e-06 3.453694710209043114e+05 9.893715933536097407e+07 1.074721452923898141e+03 3.626653927624704510e-01 4.911033365689180918e+00 5.210255334217986700e+00 5.726987746344305297e-01 1.170732440590919854e+00 4.337752754230171370e-01 
2.381685551976160526e+09 8.017890355397685198e+03 4.163017100457157085e+02 1.398102092011871488e+18 7.307637557538133115e+04 7.730649016162549087e+35 7.533492091030541404e-02 2.027363375279885180e-06 3.361673658553169807e+05 9.139651650076287985e+07 1.070640455025646816e+03 3.523889904610888468e-01 4.981239480455022850e+00 5.217281829435920670e+00 5.722237034441403081e-01 1.170147541903612920e+00 4.341128936815029093e-01 
2.465811075822603703e+09 8.301097022092839325e+03 4.089682405005019632e+02 1.398102092011871488e+18 7.120447841291381337e+04 7.868664280923200919e+35 7.539393700706471801e-02 1.923737760949954300e-06 3.271959765093614114e+05 8.441047029205535352e+07 1.066382406662772382e+03 3.424248456166617549e-01 5.052129772569172950e+00 5.224062131363240269e+00 5.717649068231465126e-01 1.169576045087843630e+00 4.344429727561281984e-01 
2.552908068239516735e+09 8.594307070289285548e+03 4.017145447742394140e+02 1.398102092011871488e+18 6.938042785010035732e+04 8.009095870362483320e+35 7.545601507081443893e-02 1.825061573485330768e-06 3.184502079214142868e+05 7.794020675117203593e+07 1.061953339167786453e+03 3.327624888880465481e-01 5.123711040522239912e+00 5.230599667834234801e+00 5.713220658275381947e-01 1.169017674717773625e+00 4.347656354960079961e-01 
2.643081486974102974e+09 8.897873837860839558e+03 3.945419629301527493e+02 1.398102092011871488e+18 6.760300535123626469e+04 8.151986088677422985e+35 7.552109409351005775e-02 1.731124224701037107e-06 3.099250458857246558e+05 7.194943758886335790e+07 1.057359259975041141e+03 3.233918445841176825e-01 5.195990264643862488e+00 5.236897684504804751e+00 5.708948768130451823e-01 1.168472158162086716e+00 4.350810045617263255e-01 
2.736439997074666500e+09 9.212163143226327520e+03 3.874517152591020590e+02 1.398102092011871488e+18 6.587102322093960538e+04 8.297377980712641295e+35 7.558911614862173778e-02 1.641722188090072963e-06 3.016155571447184775e+05 6.640425394698072970e+07 1.052606144499767652e+03 3.143032141351586595e-01 5.268974607167906221e+00 5.242959708099645511e+00 5.704830266326990085e-01 1.167939226621219406e+00 4.353892029701174060e-01 
