# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 1, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
9.695648829869455199e+00 9.120235008249721432e+03 1.247744636358902200e+16 2.011507245402392593e+34 2.075871647003908402e-02 3.275784770063967598e-08 2.761532239136885983e+04 1.213131759780200082e+05 1.997392540345080931e+02 1.208988774449261741e-02 3.911317133193799123e+01 3.069410754546701980e+00 7.129039564465913248e-01 1.135133245271118474e+00 4.229556495367446378e-01 
9.572974129255548803e+00 9.078337636424193988e+03 1.224974131400475200e+16 1.974798583733441858e+34 2.054257810601908818e-02 3.249618823348623564e-08 2.745911310660264280e+04 1.196634234079914895e+05 1.986327536401450686e+02 1.198158770137892383e-02 3.935282645394935486e+01 3.023249546169030744e+00 7.170171128320412812e-01 1.135025343872279713e+00 4.219620474997524684e-01 
9.451848780749060097e+00 9.036632736586983810e+03 1.202619172925646000e+16 1.938759830584392618e+34 2.032564459470422025e-02 3.223874428444090928e-08 2.730433874733370976e+04 1.180462720280119538e+05 1.975836636788880014e+02 1.187419419413446309e-02 3.959456944296250924e+01 2.976827648440631524e+00 7.212142917530279806e-01 1.134941036697370231e+00 4.209432419279503512e-01 
9.332252484957248129e+00 8.995119424542615889e+03 1.180672177489057200e+16 1.903378760572873508e+34 2.010798247747310266e-02 3.198554607019409701e-08 2.715099543422490024e+04 1.164614041088878294e+05 1.965937079146715689e+02 1.176767797498479498e-02 3.983850306737497959e+01 2.930175667697734188e+00 7.254946544210738590e-01 1.134880629181844958e+00 4.198996144090809679e-01 
9.214190554856658721e+00 8.953796820157509501e+03 1.159125700038153800e+16 1.868643371421559565e+34 1.988955131383697908e-02 3.173667776799699232e-08 2.699909030708263890e+04 1.149087471166181494e+05 1.956710613491415245e+02 1.166200456162255934e-02 4.008476126127094119e+01 2.883291958066671157e+00 7.298619875125876844e-01 1.134848007742447873e+00 4.188323144240597706e-01 
9.097658830895522186e+00 8.912664047341353580e+03 1.137972431387627200e+16 1.834541879886685269e+34 1.967035909972101454e-02 3.149220751546093209e-08 2.684862423133573247e+04 1.133881414257384895e+05 1.948248426141020389e+02 1.155713749508384056e-02 4.033348704131230278e+01 2.836190126788807220e+00 7.343181417158631819e-01 1.134845749215654731e+00 4.177425306997784582e-01 
8.982652709285517290e+00 8.871720234028462073e+03 1.117205195739890000e+16 1.801062717760769082e+34 1.945042099833666632e-02 3.125220319671425939e-08 2.669959810577234020e+04 1.118994260951269389e+05 1.940682220427709979e+02 1.145304080566867874e-02 4.058482913406135140e+01 2.788886131683063319e+00 7.388647850507309434e-01 1.134876453451202138e+00 4.166314621245352234e-01 
8.869159522287032971e+00 8.830964512159360311e+03 1.096816948250879800e+16 1.768194527948406901e+34 1.922978401298673645e-02 3.101672033687527587e-08 2.655200715085028787e+04 1.104423721622737212e+05 1.934186701284090191e+02 1.134967614987927691e-02 4.083894802327854734e+01 2.741405854763009575e+00 7.435020838071523253e-01 1.134941519475545890e+00 4.155003766663307174e-01 
8.757187626663935021e+00 8.790396017662311351e+03 1.076800772640208400e+16 1.735926160613561427e+34 1.900842299138361460e-02 3.078585712907641196e-08 2.640585617533115510e+04 1.090169427567657840e+05 1.925139650024890727e+02 1.124700234345116234e-02 4.109603015687440575e+01 2.693753762399493823e+00 7.482337984873214110e-01 1.135045500272582997e+00 4.143511538807487793e-01 
8.646733550771985577e+00 8.750013890435060603e+03 1.057149878844993600e+16 1.704246669397269419e+34 1.878636378340358890e-02 3.055969431754829640e-08 2.626114006940359832e+04 1.076229959248362138e+05 1.912551355249529195e+02 1.114497239939438167e-02 4.135628523176882965e+01 2.645950238104039176e+00 7.530613302145636734e-01 1.135191130668833814e+00 4.131859451092600444e-01 
8.537791273004691206e+00 8.709817274326551342e+03 1.037857600716449600e+16 1.673145307704281222e+34 1.856364164015602766e-02 3.033830514837021323e-08 2.611785555068987014e+04 1.062603706391374581e+05 1.901364897642333176e+02 1.104354502975298316e-02 4.161991413644217630e+01 2.598018235686600175e+00 7.579857591328966748e-01 1.135380977753864817e+00 4.120065332612665721e-01 
8.430371045088515203e+00 8.669805317118783933e+03 1.018917393758543000e+16 1.642611525057515815e+34 1.834024487789138319e-02 3.012180160229763605e-08 2.597600192845732454e+04 1.049290515079140605e+05 1.891516812333742905e+02 1.094266879811975693e-02 4.188716867092406204e+01 2.549967495360993652e+00 7.630106857780453167e-01 1.135619974922046360e+00 4.108157843256323716e-01 
8.324462723239543394e+00 8.629977170508787822e+03 1.000322832907930000e+16 1.612634963519065497e+34 1.811623227574155406e-02 2.991025416217927691e-08 2.583557046801110846e+04 1.036288442403843073e+05 1.882986125702853428e+02 1.084229795481830676e-02 4.215828554057434729e+01 2.501828399869680197e+00 7.681362014657889814e-01 1.135910115910352403e+00 4.096158899692372568e-01 
8.220078031606092850e+00 8.590331990090568070e+03 9.820676103543574000e+15 1.583205454176432633e+34 1.789160004498076967e-02 2.970378336269560651e-08 2.569655701327712450e+04 1.023597466013011581e+05 1.875868998975645923e+02 1.074237525301893065e-02 4.243356256505980184e+01 2.453613600844564147e+00 7.733658567189094502e-01 1.136256650984714955e+00 4.084103636850157648e-01 
8.117214475972819088e+00 8.550868935337273797e+03 9.641455334009066000e+15 1.554313013692997047e+34 1.766639128937555828e-02 2.950248153287953404e-08 2.555895198000969322e+04 1.011216354267588031e+05 1.870335196899198706e+02 1.064284785298807122e-02 4.271329154431992237e+01 2.405349346700766500e+00 7.787008218259552361e-01 1.136662810354696962e+00 4.072022496209049547e-01 
