# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.5, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
8.900418407180048064e+00 7.145325324426951738e+03 4.700993189531776000e+15 7.578539378798431819e+33 1.191560706383660087e-02 3.785171921851288136e-08 2.420075364784886551e+04 1.228448618365508155e+05 3.039221659692233857e+02 7.041875414291751470e-03 6.265672796738734718e+01 1.159789426491518727e+00 9.866852693530229201e-01 1.205851146678844854e+00 3.973030285673191386e-01 
8.822877077157107450e+00 7.112500473788671115e+03 4.615203208463122000e+15 7.440236104655649852e+33 1.168805518003238758e-02 3.785874804950753470e-08 2.408286231725725884e+04 1.222691369069391076e+05 3.028070115170604026e+02 6.938176361255475946e-03 6.343388214894903854e+01 1.121493643608801660e+00 9.969462209162677224e-01 1.211509402057510121e+00 3.991715846320515459e-01 
8.748668418843594807e+00 7.079826416958993832e+03 4.530978837161373000e+15 7.304456772750593465e+33 1.146193817120068174e-02 3.788019414332399789e-08 2.396514385929869604e+04 1.217404021629172494e+05 3.097112906518389650e+02 6.833059455492051029e-03 6.424772450812123736e+01 1.083931493188415196e+00 1.007492225431591670e+00 1.217541881732841835e+00 4.013666296616724138e-01 
8.677888856316538835e+00 7.047302461207507804e+03 4.448291504295599500e+15 7.171155322825818452e+33 1.123734901690871292e-02 3.791645856444952175e-08 2.384747601057722932e+04 1.212586372499128047e+05 3.026470222115884212e+02 6.726463183496701574e-03 6.510091476101919739e+01 1.047121443526881190e+00 1.018339174964720151e+00 1.223971281718344351e+00 4.039191220489213308e-01 
8.610629943836073608e+00 7.014927916986104719e+03 4.367113159942486500e+15 7.040286535192666466e+33 1.101438769940477416e-02 3.796791838880428912e-08 2.372973978378382890e+04 1.208237355338361813e+05 3.073003125904972990e+02 6.618345193183347228e-03 6.599617935768804955e+01 1.011081400222979987e+00 1.029503394139341665e+00 1.230820653354280481e+00 4.068608884996162689e-01 
8.546982183166486280e+00 6.982702097914411752e+03 4.287416266071121500e+15 6.911806015391654770e+33 1.079315608376539559e-02 3.803495900865583592e-08 2.361180677873774766e+04 1.204355412468691793e+05 3.033774422643382991e+02 6.508665974752765766e-03 6.693646239200231207e+01 9.758282698170828162e-01 1.041001589994726695e+00 1.238113232336966130e+00 4.102267773915880822e-01 
8.487052227254920922e+00 6.950624320765184166e+03 4.209173787201162500e+15 6.785670179132371071e+33 1.057375113385230353e-02 3.811800276527297778e-08 2.349353971975421518e+04 1.200939387412616634e+05 3.077818836510106166e+02 6.397385257971998154e-03 6.792499041464593290e+01 9.413766738984203908e-01 1.052852802061471582e+00 1.245874944477860513e+00 4.140560892897595102e-01 
8.430950260531243856e+00 6.918693905449879821e+03 4.132359181231775000e+15 6.661836237508671001e+33 1.035627109125926773e-02 3.821748930099413494e-08 2.337478996765724878e+04 1.197987717643248907e+05 3.040732304979939613e+02 6.284464449393813851e-03 6.896527828979071728e+01 9.077401703697017821e-01 1.065076907375254844e+00 1.254132515847532270e+00 4.183925049841122901e-01 
8.378792960726681116e+00 6.886910175004187295e+03 4.056946390437656500e+15 6.540262182483239584e+33 1.014081221829486387e-02 3.833388049177701173e-08 2.325540084475947515e+04 1.195498704498354637e+05 3.112955095487955077e+02 6.169869513376309046e-03 7.006113836877523227e+01 8.749305143116766770e-01 1.077695174239441389e+00 1.262914084238332402e+00 4.232844172588336451e-01 
8.330706926945991242e+00 6.855272455573694060e+03 3.982909832629554000e+15 6.420906772637330403e+33 9.927469243662057075e-03 3.846767344311092889e-08 2.313520110384760847e+04 1.193470517846037546e+05 3.055206796672176779e+02 6.053564736264735804e-03 7.121678053976586398e+01 8.429580001398443434e-01 1.090730330114682678e+00 1.272249367096114803e+00 4.287866287054593051e-01 
8.286836862394480363e+00 6.823780076399626523e+03 3.910224392476114500e+15 6.303729519180598098e+33 9.716332084940382252e-03 3.861942361698220256e-08 2.301400128411957121e+04 1.191901637232415669e+05 3.073677243100443093e+02 5.935507880703208734e-03 7.243692040218277839e+01 8.118310310074957625e-01 1.104207407118608320e+00 1.282170730826279081e+00 4.349622815808337761e-01 
8.247311703542361982e+00 6.792432369804572772e+03 3.838865412983911000e+15 6.188690672215921357e+33 9.507496039295296880e-03 3.878965192948556610e-08 2.289161687217792860e+04 1.190789089532400103e+05 3.109270649314381672e+02 5.815683966446101409e-03 7.372646525732149314e+01 7.815569936248518701e-01 1.118150796373439171e+00 1.292709299942692347e+00 4.418781376755179235e-01 
