# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.01, structure = BellLin, mu = 0.62
4.880251583654433441e+10 8.214628096481988905e+04 4.447718795075464186e+03 2.796204184023742976e+18 1.076679100742005903e+04 1.003206541243588293e+37 1.420501471425559270e-01 6.210748097955244136e-07 1.226659320658349461e+05 1.021669371061164886e+07 4.088493180177272006e+04 5.588757286771622868e-02 1.801767992614509595e+01 6.355105177264322336e+00 5.165109247101543621e-01 1.152379154912483106e+00 4.459197884545991197e-01 
5.052631065335679626e+10 8.504783902838063659e+04 4.350454709744248248e+03 2.796204184023742976e+18 1.049037729348635366e+04 1.020877129637524713e+37 1.419797315546697802e-01 5.853939559487549632e-07 1.192115190957243613e+05 9.358558336513403803e+06 4.047205837136650371e+04 5.442440717339337014e-02 1.823550414940036291e+01 6.318655249396707418e+00 5.179793941945293190e-01 1.152265050264032809e+00 4.459798599342097436e-01 
5.231099308056258392e+10 8.805188547117575945e+04 4.255194218895838276e+03 2.796204184023742976e+18 1.022105526806207490e+04 1.038857088729668139e+37 1.418169568712855100e-01 5.517416729788675039e-07 1.158533442604074662e+05 8.572092677024345845e+06 4.006164880017482210e+04 5.300016378955461210e-02 1.845572041512699712e+01 6.274072964567595889e+00 5.197954545412940552e-01 1.152149635607873313e+00 4.460364119253269477e-01 
5.415871378079464722e+10 9.116204037167616480e+04 4.161903813188382628e+03 2.796204184023742976e+18 9.958643183651978688e+03 1.057151834877797298e+37 1.416159879308162006e-01 5.200042822936194906e-07 1.125888025417176832e+05 7.851355024160494097e+06 3.965393604877151665e+04 5.161381431376160789e-02 1.867834668679681442e+01 6.226270259185978873e+00 5.217644614812753101e-01 1.152033746231143407e+00 4.460891236646147284e-01 
5.607169938205469513e+10 9.438205167619766144e+04 4.070544948789925911e+03 2.796204184023742976e+18 9.702963942195654454e+03 1.075766879267457961e+37 1.413749827581593788e-01 4.900745773718554843e-07 1.094153278781014960e+05 7.190893152571445331e+06 3.924895676120161079e+04 5.026429540043860639e-02 1.890342115711946036e+01 6.175154999943847756e+00 5.238948165047969674e-01 1.151916381497320341e+00 4.461380316821022540e-01 
5.805225516094907379e+10 9.771579971542734711e+04 3.981079526918201736e+03 2.796204184023742976e+18 9.453844976488058819e+03 1.094707829572165423e+37 1.410897035470350114e-01 4.618510927277432463e-07 1.063304568967926753e+05 6.585703150714822114e+06 3.884680477571651136e+04 4.895063605730722717e-02 1.913096287347616098e+01 6.120431408345829993e+00 5.262043883982475689e-01 1.151796924406354616e+00 4.461821012339783898e-01 
6.010276782070388031e+10 1.011673018804859312e+05 3.893468712011049774e+03 2.796204184023742976e+18 9.211118134608432229e+03 1.113980391642697470e+37 1.407597177715594061e-01 4.352380398365661134e-07 1.033317698412099417e+05 6.031192763607055880e+06 3.844747626624535042e+04 4.767185295887354374e-02 1.936100391322923997e+01 6.062145805214053773e+00 5.286971726628852952e-01 1.151674087553286929e+00 4.462207640108642459e-01 
6.222570836730231476e+10 1.047407174641533493e+05 3.807673886079405293e+03 2.796204184023742976e+18 8.974619567282561547e+03 1.133590371225938847e+37 1.403814975232667850e-01 4.101448904877621713e-07 1.004169260298495647e+05 5.523148544817230664e+06 3.805099340985516756e+04 4.642701234103801394e-02 1.959356955135895362e+01 6.000082854254413789e+00 5.313892006900166054e-01 1.151546617859908084e+00 4.462529358153108916e-01 
6.442363508721369934e+10 1.084403526730973244e+05 3.723656110570852434e+03 2.796204184023742976e+18 8.744189618104157489e+03 1.153543675713831533e+37 1.399514602116238293e-01 3.864861338136830003e-07 9.758365142791096878e+04 5.057704797930452041e+06 3.765741899299173383e+04 4.521520994966556073e-02 1.982868402786692386e+01 5.934034622290170091e+00 5.342973164439397404e-01 1.151412991252508622e+00 4.462772443588335913e-01 
6.669919663030114746e+10 1.122706658171427553e+05 3.641376340521427210e+03 2.796204184023742976e+18 8.519672716543498609e+03 1.173846315922943531e+37 1.394653833692842126e-01 3.641810087869377857e-07 9.482974430086390930e+04 4.631315522848867811e+06 3.726682039111704944e+04 4.403557978485814900e-02 2.006636682289365936e+01 5.863751911785897164e+00 5.374415609459892718e-01 1.151271552624840933e+00 4.462918110419329398e-01 
